model,rate_hz,split,activity,f1,source
pure_cnn,25,loso_sbj_1,walking,0.8006030908405578,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,running,0.7209416380578715,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,sitting,0.0031031807602792,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,standing,0.6502662946994674,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,lying,0.9926041261191124,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,jumping,0.4246424642464246,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,climbingup,0.8183632734530938,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_1,climbingdown,0.8004012036108324,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,25,loso_sbj_10,walking,0.8165168165168165,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,25,loso_sbj_10,running,0.9800078400627203,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,25,loso_sbj_10,sitting,0.9385113268608414,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,25,loso_sbj_10,standing,0.8935879945429741,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,25,loso_sbj_10,lying,0.9771621115687008,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,25,loso_sbj_10,jumping,0.949748743718593,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
