rate_hz,split,activity,f1,file
6,loso_sbj_14,push-ups (complex),0.4564885496183206,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,sit-ups,0.5149700598802395,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,sit-ups (complex),0.6607142857142857,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,stretching (hamstrings),0.6333615580016935,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,stretching (lumbar rotation),0.8780487804878049,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,stretching (lunging),0.6969397828232972,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,stretching (shoulders),0.3700914470145239,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,stretching (triceps),0.7990867579908676,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_15,nan,0.4467816575515355,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,bench-dips,0.7647058823529411,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,burpees,0.3759124087591241,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,jogging,0.96640826873385,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,jogging (butt-kicks),0.9081081081081082,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,jogging (rotating arms),0.8288288288288288,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,jogging (sidesteps),0.9290617848970252,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,jogging (skipping),0.8521739130434782,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,lunges,0.007168458781362,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,lunges (complex),0.6579634464751958,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,push-ups,0.6343283582089553,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,push-ups (complex),0.4635416666666667,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,sit-ups,0.6776556776556777,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,sit-ups (complex),0.6740947075208914,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,stretching (hamstrings),0.6045801526717557,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,stretching (lumbar rotation),0.8537735849056604,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,stretching (lunging),0.8788927335640139,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,stretching (shoulders),0.5296551724137931,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
6,loso_sbj_15,stretching (triceps),0.0,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/per_class_metrics_loso_sbj_15.csv
